Simulation_Run,Ending_Balance_INR
306,2642473.055880741
307,2799828.4745868803
308,2548630.324950149
309,2986178.6937048724
310,2581138.349613856
311,2519116.9396410207
312,2414727.2295576553
313,2945369.831187396
314,2303079.9869604832
315,2795346.198519518
316,2251841.0152706844
317,3000038.4729835894
318,2284798.121430549
319,2368444.976873267
320,2321702.262358551
321,2360622.7350233975
322,2837196.807326899
323,3151068.707127161
324,2342299.752982528
325,2331899.949064829
326,2567841.223484711
327,2169029.5310433647
328,2796117.3973821388
329,2601746.3413820113
330,2690162.625905978
331,2831058.0878453106
332,2544445.4199949508
333,2425243.4463867405
334,2853954.523637604
335,2761961.673767553
336,2369648.149929758
337,2444930.749668505
338,2637044.1910367347
339,2534666.103651165
340,2319022.208760774
341,2552905.006131494
342,2643956.408225712
343,2558218.212604687
344,2722704.2596789966
345,2870064.2078103726
346,2778218.951790409
347,2770496.5698103597
348,2811774.330993516
349,2294418.0758896503
350,2594713.430832595
351,2702350.518520351
352,2253952.36967375
353,2211377.9720099117
354,2408950.96627097
355,2660321.6608845186
356,2644060.7860119827
357,2400795.5239561377
358,2600026.029865038
359,3081954.8968953104
360,2673703.3170570415
361,2806362.848236047
362,2419357.224598379
363,2319796.9723639335
364,2440079.007567381
365,3003593.159620245
366,2524469.5368191143
367,2847066.723040165
368,2499548.3169951006
369,2656013.379540353
370,2349830.701241536
371,2760837.108540796
372,2409869.925437635
373,2560141.301342069
374,2692707.5139851538
375,2864366.0353171197
376,2813443.894396113
377,2665577.546493574
378,2388776.881971316
379,2425163.304897072
380,2719231.2124518463
381,2290903.9342923453
382,2654830.233873749
383,2593540.7543224036
384,2974049.598385422
385,2469138.3472464224
386,2290356.9920357787
387,2719537.717215266
388,2554927.0384846074
389,2558169.0153438314
390,2448432.1813762304
391,2779896.8647033814
392,2586617.887486238
393,2579719.595493696
394,2331345.7782751736
395,2605859.8525421787
396,2660513.701975072
397,3179189.4727711347
398,2458089.2781086145
399,3241855.2430656827
400,2885714.975454177
401,3042161.379537824
402,2809483.9541372657
403,2935449.3377884557
404,2890461.068993191
405,3071123.1315113874
406,2936089.815363922
407,2558272.1824250515
408,2571017.131154448
409,2979372.5937217004
410,2693544.684796935
411,2555837.2427728665
412,3053880.7732495517
413,2756413.9095676034
414,2664643.324502738
415,2286114.376797472
416,2653947.388935883
417,2776875.335584489
418,2365036.7905131825
419,2709597.916133293
420,2784253.2809939375
421,3068285.2253984213
422,2406706.6536367754
423,2675578.6516992925
424,2447143.7446789886
425,2422551.258936258
426,2696237.5452556224
427,2492044.9716623393
428,2358886.9227389917
429,2572009.1794278016
430,2433956.0214304696
431,2782124.1148414565
432,2265892.504279377
433,2489650.146473473
434,2532220.9771628156
435,2520882.4319963027
436,2246488.3009732384
437,2742398.2021338157
438,2889519.5893331016
439,2822423.25065882
440,3576919.7022281783
441,2322108.13100951
442,2337682.9255033676
443,2649891.554387459
